Run	Seed	Opt	Pes	Best
1	201	191.07	70.38	40.57
2	202	97.10	69.05	21.21
3	203	76.07	91.43	39.95
4	204	129.69	96.33	37.43
5	205	81.85	59.89	25.40
6	206	173.08	296.29	74.08
7	207	90.94	102.92	63.79
8	208	144.28	174.06	35.19
9	209	67.92	52.98	26.55
10	210	76.00	77.59	39.22
11	211	219.60	323.86	50.89
12	212	136.62	144.31	80.08
13	213	63.47	83.87	46.45
14	214	94.98	94.22	201.48
15	215	102.57	252.41	98.05
16	216	159.69	151.94	342.71
17	217	131.15	163.41	91.37
18	218	69.00	64.19	30.78
19	219	158.06	118.99	58.03
20	220	95.67	90.09	53.18
21	221	369.44	201.57	122.56
22	222	97.08	87.17	30.62
