Run	Seed	Opt2	Opt3	Opt5
1	501	306.78	128.41	296.75
2	502	129.09	96.71	143.54
3	503	84.20	108.95	81.86
4	504	148.05	129.41	173.11
5	505	106.88	262.64	149.79
6	506	267.91	145.71	258.32
7	507	143.36	81.80	79.06
8	508	99.03	258.82	115.88
9	509	90.72	107.05	89.82
10	510	141.34	223.57	163.37
11	511	69.31	118.56	141.86
12	512	0.00	0.00	0.00
13	513	218.25	384.11	86.88
14	514	162.09	176.51	168.46
15	515	74.90	57.71	66.11
16	516	119.89	309.97	289.49
17	517	75.36	79.91	85.48
18	518	70.90	105.52	176.08
19	519	164.88	263.59	236.17
20	520	150.60	195.54	297.01
21	521	66.69	66.80	58.39
22	522	80.94	128.60	149.11
23	523	126.68	100.07	94.75
24	524	164.12	138.47	103.86
25	525	105.49	90.58	71.17
26	526	155.57	125.62	77.24
27	527	81.91	86.41	73.28
28	528	66.97	85.22	96.88
29	529	59.94	75.05	66.85
30	530	117.56	127.17	118.80
31	531	85.51	72.45	77.78
32	532	89.82	93.01	122.51
33	533	119.12	102.86	116.12
34	534	61.19	62.94	84.01
35	535	113.60	120.82	167.85
36	536	235.43	197.80	126.54
37	537	281.41	177.75	194.30
38	538	144.61	104.38	216.67
39	539	120.06	161.38	145.60
40	540	264.72	127.02	381.88
41	541	62.48	78.17	71.32
42	542	121.44	141.72	270.91
43	543	152.24	157.80	134.49
44	544	110.12	99.01	130.90
45	545	153.69	162.86	304.14
46	546	122.91	101.25	90.83
47	547	110.00	108.41	89.05
48	548	106.11	68.93	76.44
49	549	69.04	70.69	71.95
50	550	119.65	111.54	240.78
51	551	70.56	65.56	56.80
52	552	93.28	142.45	211.06
53	553	0.00	0.00	0.00
54	554	178.43	178.31	203.96
55	555	70.66	84.53	74.04
56	556	109.16	148.98	67.75
57	557	141.50	113.86	112.92
58	558	68.81	98.48	62.52
59	559	62.69	83.47	60.76
60	560	133.86	122.08	196.93
61	561	173.51	155.85	310.42
62	562	85.94	189.36	112.73
63	563	99.30	57.61	390.76
64	564	81.48	113.96	92.09
65	565	74.47	110.72	116.33
66	566	140.44	83.03	118.62
67	567	83.30	80.71	75.13
68	568	125.20	126.71	192.91
69	569	251.09	297.56	247.34
70	570	75.63	94.11	92.12
71	571	123.86	133.73	81.58
72	572	242.24	215.90	307.18
73	573	125.83	374.30	243.05
74	574	266.45	290.43	256.95
75	575	130.37	169.06	108.17
76	576	70.38	70.38	74.72
77	577	148.42	147.01	171.00
78	578	77.71	70.44	186.82
79	579	251.02	137.51	116.48
80	580	146.01	158.56	129.44
81	581	75.25	73.82	92.48
82	582	74.14	101.21	102.37
83	583	87.16	94.81	86.22
84	584	135.76	229.47	174.69
85	585	133.08	82.61	97.46
86	586	117.34	123.15	162.04
87	587	125.08	141.64	123.72
88	588	112.51	158.86	126.87
89	589	95.02	59.17	89.27
90	590	124.67	145.67	180.19
91	591	106.49	92.31	112.36
92	592	158.29	263.69	102.87
93	593	68.06	86.39	57.05
94	594	149.99	151.95	151.76
95	595	85.67	84.50	74.71
96	596	187.11	160.98	127.14
97	597	102.29	71.46	127.73
98	598	95.23	50.79	65.99
99	599	124.23	130.60	144.76
100	600	112.40	384.91	84.88
